run_id,strategy,pesticide_threshold,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
threshold_26,threshold,0.1,1,3.6234044367908407,0.3841731632091588,10,14870.213310372523,100.0
threshold_25,threshold,0.1,1,3.6692563794148056,0.3383212205851925,10,15007.769138244417,100.0
threshold_24,threshold,0.1,1,3.7143952192324856,0.2931823807675138,10,15143.185657697457,100.0
threshold_27,threshold,0.1,2,3.6475329256694518,0.36004467433054876,10,24916.8847194429,100.0
threshold_26,threshold,0.1,2,3.7097668711372718,0.29781072886272797,10,24999.51392378434,100.0
threshold_25,threshold,0.1,2,3.6677350820306747,0.33984251796932474,10,25010.97438433644,100.0
threshold_24,threshold,0.1,2,3.712456849816604,0.2951207501833973,10,25280.556207147267,100.0
threshold_27,threshold,0.1,3,3.6496104805953076,0.35796711940469167,10,34865.71616122882,100.0
threshold_26,threshold,0.1,3,3.661266977668627,0.3463106223313728,10,34983.314856790224,100.0
threshold_25,threshold,0.1,3,3.6245843257008477,0.38299327429915314,10,34884.727361438985,100.0
threshold_24,threshold,0.1,3,3.7141665017706407,0.29341109822935874,10,35423.05571245919,100.0
threshold_30,threshold,0.1,1,3.6976549889732717,0.30992261102672974,10,15092.964966919815,100.0
threshold_29,threshold,0.1,1,3.701764800633904,0.3058127993660967,10,15105.294401901712,100.0
threshold_28,threshold,0.1,1,3.6993949854911263,0.30818261450887474,10,15098.184956473378,100.0
threshold_31,threshold,0.1,1,3.6964216269160812,0.31115597308392096,10,15089.264880748244,100.0
threshold_30,threshold,0.1,2,3.7107064410190596,0.2968711589809408,10,25225.084289976992,100.0
threshold_29,threshold,0.1,2,3.6833416217069903,0.3242359782930095,10,25155.319267022685,100.0
threshold_28,threshold,0.1,2,3.644539566025943,0.36303803397405754,10,25031.803654551208,100.0
threshold_31,threshold,0.1,2,3.6383546604763377,0.3692229395236612,10,25004.32886217726,100.0
threshold_30,threshold,0.1,3,3.6820523225451707,0.3255252774548287,10,35271.241257612506,100.0
threshold_29,threshold,0.1,3,3.661956772985972,0.34562082701402813,10,35141.1895859806,100.0
threshold_28,threshold,0.1,3,3.673035920705029,0.3345416792949709,10,35050.91141666629,100.0
threshold_31,threshold,0.1,3,3.668650344726458,0.3389272552735409,10,35010.27989635663,100.0
threshold_35,threshold,0.1,1,3.680030100804783,0.3275474991952146,10,15040.09030241435,100.0
threshold_34,threshold,0.1,1,3.647445523460807,0.36013207653919294,10,14942.33657038242,100.0
threshold_33,threshold,0.1,1,3.6773349623991813,0.3302426376008193,10,15032.004887197543,100.0
threshold_32,threshold,0.1,1,3.69243013074557,0.31514746925443005,10,15077.29039223671,100.0
threshold_35,threshold,0.1,2,3.6428851727495437,0.3646924272504574,10,24968.74582066298,100.0
threshold_34,threshold,0.1,2,3.6411507827544187,0.3664268172455804,10,24865.788918645674,100.0
threshold_33,threshold,0.1,2,3.6500723296249307,0.3575052703750693,10,24982.221876072334,100.0
threshold_32,threshold,0.1,2,3.6922339203212595,0.31534367967873816,10,25153.99215320049,100.0
threshold_35,threshold,0.1,3,3.697420002607919,0.3101575973920816,10,35061.00582848674,100.0
threshold_34,threshold,0.1,3,3.6500168591993827,0.3575607408006174,10,34815.83949624382,100.0
threshold_33,threshold,0.1,3,3.6713384275988394,0.3362391724011616,10,34996.237158868855,100.0
threshold_32,threshold,0.1,3,3.6582919456905674,0.34928565430943354,10,35128.86799027219,100.0
threshold_39,threshold,0.1,1,3.6681885124296936,0.33938908757030894,10,15004.565537289081,100.0
threshold_38,threshold,0.1,1,3.7033028951923606,0.30427470480763946,10,15109.908685577082,100.0
threshold_37,threshold,0.1,1,3.6984728811970955,0.3091047188029041,10,15095.418643591287,100.0
threshold_36,threshold,0.1,1,3.667340234653917,0.34023736534608356,10,15002.02070396175,100.0
threshold_39,threshold,0.1,2,3.673907135275405,0.3336704647245963,10,25026.286943115294,100.0
threshold_38,threshold,0.1,2,3.641989463653983,0.365588136346018,10,25035.87707653903,100.0
threshold_37,threshold,0.1,2,3.6532204648876263,0.3543571351123743,10,25055.080038254164,100.0
threshold_36,threshold,0.1,2,3.7095838176367772,0.297993782363223,10,25130.77215687208,100.0
threshold_39,threshold,0.1,3,3.678401526797743,0.329176073202258,10,35061.49152350852,100.0
threshold_38,threshold,0.1,3,3.6767634258915054,0.3308141741084932,10,35066.16735421355,100.0
threshold_37,threshold,0.1,3,3.6923309378411666,0.31524666215883573,10,35132.072851777666,100.0
threshold_36,threshold,0.1,3,3.6440426358848006,0.3635349641152014,10,35062.90006452648,100.0
threshold_43,threshold,0.2,1,3.6813383233357837,0.3262392766642148,10,15044.01497000735,100.0
threshold_42,threshold,0.2,1,3.6876685577566777,0.3199090422433223,9,15163.005673270032,100.0
threshold_41,threshold,0.2,1,3.641150870647091,0.3664267293529071,10,14923.452611941273,100.0
threshold_40,threshold,0.2,1,3.6509181584901085,0.3566594415098917,10,14952.754475470325,100.0
threshold_43,threshold,0.2,2,3.6146464072200444,0.3929311927799571,10,24887.954191667486,100.0
threshold_42,threshold,0.2,2,3.668566745073193,0.33901085492680744,9,25268.70590848961,100.0
threshold_41,threshold,0.2,2,3.6549441449189715,0.35263345508102734,10,24888.285046698187,100.0
threshold_40,threshold,0.2,2,3.637003480427124,0.3705741195728756,10,24863.764916751694,100.0
threshold_43,threshold,0.2,3,3.665359192528234,0.3422184074717653,9,34984.031769252186,100.0
threshold_42,threshold,0.2,3,3.6618135595030123,0.34576404049698645,9,35354.14658699865,100.0
threshold_41,threshold,0.2,3,3.630388296981915,0.3771893030180865,10,34779.449937643934,100.0
threshold_40,threshold,0.2,3,3.6610017124329635,0.34657588756703794,10,34846.77005405058,100.0
threshold_46,threshold,0.2,1,3.655407167042675,0.35217043295732425,10,14966.221501128026,100.0
threshold_45,threshold,0.2,1,3.663263136198683,0.34431446380131825,10,14989.789408596049,100.0
threshold_44,threshold,0.2,1,3.6507800259527357,0.35679757404726375,10,14952.340077858207,100.0
threshold_47,threshold,0.2,1,3.694974165664336,0.3126034343356633,9,15184.922496993007,100.0
threshold_46,threshold,0.2,2,3.701845498006245,0.30573210199375506,9,25171.757995146763,100.0
threshold_45,threshold,0.2,2,3.6669463274424965,0.3406312725575035,10,24990.62839092354,100.0
threshold_44,threshold,0.2,2,3.6739843617555694,0.3335932382444304,10,24974.293163124916,100.0
threshold_47,threshold,0.2,2,3.672128913828004,0.33544868617199586,9,25301.30923847702,100.0
threshold_46,threshold,0.2,3,3.6691190118309085,0.3384585881690916,9,35279.115030639485,100.0
threshold_45,threshold,0.2,3,3.6712496201266105,0.3363279798733898,10,35004.37725130337,100.0
threshold_44,threshold,0.2,3,3.6746615429284155,0.3329160570715854,10,34998.277791910165,100.0
threshold_47,threshold,0.2,3,3.677313043268857,0.33026455673114335,10,35333.24836828359,100.0
threshold_51,threshold,0.2,1,3.6618146262141384,0.34576297378586013,10,14985.443878642416,100.0
threshold_50,threshold,0.2,1,3.6691398454069115,0.33843775459308734,10,15007.419536220734,100.0
