run_id,strategy,plot_position,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
none_1,none,interior,1,2,2,2.2997809125731066,1.707796687426894,0,0.0,100.0
none_1,none,interior,1,3,2,2.285755636980273,1.7218219630197278,0,0.0,100.0
none_1,none,interior,1,4,2,2.296233822390108,1.711343777609892,0,0.0,100.0
none_1,none,interior,1,5,2,2.3063453591462753,1.7012322408537253,0,0.0,100.0
none_1,none,interior,1,6,2,2.275012145546705,1.7325654544532958,0,0.0,100.0
none_1,none,interior,1,7,2,2.2781034839962886,1.729474116003712,0,0.0,100.0
none_1,none,interior,1,8,2,2.232272585796431,1.7753050142035705,0,0.0,100.0
none_1,none,edge,1,9,2,2.3249412233106193,1.6826363766893817,0,0.0,100.0
none_1,none,edge,1,0,3,2.4229579540428476,1.584619645957152,0,0.0,100.0
none_1,none,interior,1,1,3,2.309458768590067,1.6981188314099336,0,0.0,100.0
none_1,none,interior,1,2,3,2.319233746894879,1.6883438531051211,0,0.0,100.0
none_1,none,interior,1,3,3,2.3098117477145594,1.6977658522854409,0,0.0,100.0
none_1,none,interior,1,4,3,2.3113463917992516,1.6962312082007491,0,0.0,100.0
none_1,none,interior,1,5,3,2.3293681686337964,1.6782094313662044,0,0.0,100.0
none_1,none,interior,1,6,3,2.287579934423068,1.719997665576933,0,0.0,100.0
none_1,none,interior,1,7,3,2.2813233022355948,1.7262542977644058,0,0.0,100.0
none_1,none,interior,1,8,3,2.264871566686357,1.742706033313644,0,0.0,100.0
none_1,none,edge,1,9,3,2.3314071655332778,1.676170434466723,0,0.0,100.0
none_1,none,edge,1,0,4,2.388100047958963,1.6194775520410374,0,0.0,100.0
none_1,none,interior,1,1,4,2.2614736461865026,1.7461039538134981,0,0.0,100.0
none_1,none,interior,1,2,4,2.3443538482998365,1.6632237517001636,0,0.0,100.0
none_1,none,interior,1,3,4,2.328063868837034,1.679513731162966,0,0.0,100.0
