run_id,strategy,calendar_interval,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
calendar_158,calendar,7,1,7,1,3.5448158999724155,0.46276170002758577,10,0.26,100.0
calendar_158,calendar,7,1,8,1,3.538657916823372,0.46891968317662797,10,0.26,100.0
calendar_158,calendar,7,1,9,1,3.597767461048178,0.4098101389518238,10,0.26,100.0
calendar_158,calendar,7,1,0,2,3.661082016581114,0.3464955834188866,10,0.26,100.0
calendar_158,calendar,7,1,1,2,3.5783448901020765,0.42923270989792384,10,0.26,100.0
calendar_158,calendar,7,1,2,2,3.6074951263589368,0.40008247364106425,10,0.26,100.0
calendar_158,calendar,7,1,3,2,3.6051235230132535,0.4024540769867463,10,0.26,100.0
calendar_158,calendar,7,1,4,2,3.6020871623255215,0.4054904376744776,10,0.26,100.0
calendar_158,calendar,7,1,5,2,3.617106201778771,0.3904713982212285,10,0.26,100.0
calendar_158,calendar,7,1,6,2,3.5917548069188614,0.4158227930811398,10,0.26,100.0
calendar_158,calendar,7,1,7,2,3.6107233049485257,0.3968542950514762,10,0.26,100.0
calendar_158,calendar,7,1,8,2,3.5762010891192073,0.43137651088079326,10,0.26,100.0
calendar_158,calendar,7,1,9,2,3.643209400254288,0.3643681997457121,10,0.26,100.0
calendar_158,calendar,7,1,0,3,3.6605706818795847,0.34700691812041534,10,0.26,100.0
calendar_158,calendar,7,1,1,3,3.5696458733275627,0.43793172667243774,10,0.26,100.0
calendar_158,calendar,7,1,2,3,3.6158225352539297,0.39175506474607213,10,0.26,100.0
calendar_158,calendar,7,1,3,3,3.6107632643707643,0.3968143356292353,10,0.26,100.0
calendar_158,calendar,7,1,4,3,3.5942223069849453,0.4133552930150561,10,0.26,100.0
calendar_158,calendar,7,1,5,3,3.6041933549687544,0.4033842450312464,10,0.26,100.0
calendar_158,calendar,7,1,6,3,3.6305662826787057,0.37701131732129334,10,0.26,100.0
calendar_158,calendar,7,1,7,3,3.5918362857408677,0.4157413142591325,10,0.26,100.0
calendar_158,calendar,7,1,8,3,3.57040413160514,0.4371734683948612,10,0.26,100.0
calendar_158,calendar,7,1,9,3,3.6355360257952927,0.3720415742047075,10,0.26,100.0
calendar_158,calendar,7,1,0,4,3.664630056037531,0.34294754396246935,10,0.26,100.0
calendar_158,calendar,7,1,1,4,3.5800241112424294,0.42755348875756966,10,0.26,100.0
calendar_158,calendar,7,1,2,4,3.6301303257051165,0.37744727429488445,10,0.26,100.0
