run_id,strategy,calendar_interval,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
calendar_23,calendar,7,3,3.6801867867417064,0.3273908132582943,10,35118.78377195777,100.0
calendar_20,calendar,7,3,3.6367883269221433,0.3707892730778559,10,35066.95982475733,100.0
calendar_21,calendar,7,3,3.6861444347696284,0.32143316523037174,10,35278.69631529919,100.0
calendar_26,calendar,7,1,3.6743240925933516,0.3332535074066492,10,15022.972277780054,100.0
calendar_27,calendar,7,1,3.6668109664943285,0.34076663350567304,10,15000.432899482985,100.0
calendar_24,calendar,7,1,3.6806658753986388,0.3269117246013616,10,15041.997626195916,100.0
calendar_25,calendar,7,1,3.7158658010516907,0.2917117989483104,10,15147.597403155072,100.0
calendar_26,calendar,7,2,3.651184255433374,0.3563933445666265,10,24976.525044080176,100.0
calendar_27,calendar,7,2,3.6589224144955614,0.34865518550443947,10,24977.20014296967,100.0
calendar_24,calendar,7,2,3.662577348663488,0.3450002513365131,10,25029.729672186382,100.0
calendar_25,calendar,7,2,3.687760317151525,0.3198172828484744,10,25210.878354609646,100.0
calendar_26,calendar,7,3,3.672196268611515,0.335381331388486,10,34993.11384991472,100.0
calendar_27,calendar,7,3,3.64695144002973,0.360626159970271,10,34918.054463058856,100.0
calendar_24,calendar,7,3,3.6962437789384985,0.3113338210615013,10,35118.461009001876,100.0
calendar_25,calendar,7,3,3.661428081176544,0.34614951882345507,10,35195.16259813928,100.0
calendar_30,calendar,7,1,3.6442352850160655,0.36334231498393543,10,14932.705855048196,100.0
calendar_31,calendar,7,1,3.645002347361835,0.362575252638166,10,14935.007042085506,100.0
calendar_28,calendar,7,1,3.690637272649464,0.31694032735053457,10,15071.911817948392,100.0
calendar_29,calendar,7,1,3.693663188376465,0.31391441162353617,10,15080.989565129395,100.0
calendar_30,calendar,7,2,3.67100896027786,0.3365686397221381,10,24945.73273588178,100.0
calendar_31,calendar,7,2,3.6681152366433807,0.3394623633566193,10,24939.35275201565,100.0
calendar_28,calendar,7,2,3.661602210101638,0.3459753898983626,10,25056.718448253305,100.0
calendar_29,calendar,7,2,3.650877381063509,0.35670021893649023,10,25033.621708319923,100.0
calendar_30,calendar,7,3,3.690850293771008,0.31672730622899253,10,35018.2836171948,100.0
calendar_31,calendar,7,3,3.6683356077779843,0.3392419922220143,10,34944.359575349605,100.0
calendar_28,calendar,7,3,3.6554523172109588,0.3521252827890411,10,35023.075399886184,100.0
calendar_29,calendar,7,3,3.693868961164664,0.3137086388353357,10,35115.22859181392,100.0
calendar_32,calendar,7,1,3.683620106090507,0.32395749390949313,10,15050.860318271521,100.0
calendar_33,calendar,7,1,3.667289055827765,0.3402885441722366,10,15001.867167483295,100.0
calendar_34,calendar,7,1,3.6914535845042655,0.3161240154957339,10,15074.360753512796,100.0
calendar_35,calendar,7,1,3.6794635295604885,0.3281140704395114,10,15038.390588681466,100.0
calendar_32,calendar,7,2,3.696774321020182,0.3108032789798174,10,25141.183281332065,100.0
calendar_33,calendar,7,2,3.6805150227169987,0.32706257728300187,10,25043.412235634292,100.0
calendar_34,calendar,7,2,3.6978375172482534,0.30974008275174714,10,25167.873305257555,100.0
calendar_35,calendar,7,2,3.6442334431664962,0.36334415683350224,10,24971.090918180955,100.0
calendar_32,calendar,7,3,3.676547882390982,0.3310297176090186,10,35170.82692850501,100.0
calendar_33,calendar,7,3,3.664680339962251,0.3428972600377476,10,35037.453255521046,100.0
calendar_34,calendar,7,3,3.7031856523333415,0.30439194766666006,10,35277.43026225758,100.0
calendar_35,calendar,7,3,3.6607403369533245,0.3468372630466766,10,34953.31192904093,100.0
calendar_38,calendar,7,1,3.6664813023625222,0.34109629763747956,10,14999.443907087567,100.0
calendar_39,calendar,7,1,3.6647430303738453,0.34283456962615527,10,14994.229091121535,100.0
calendar_36,calendar,7,1,3.6928247326175354,0.31475286738246494,10,15078.474197852605,100.0
calendar_37,calendar,7,1,3.6500239248004864,0.35755367519951414,10,14950.07177440146,100.0
calendar_38,calendar,7,2,3.6554069911498703,0.3521706088501304,10,24965.66488053718,100.0
calendar_39,calendar,7,2,3.683858544359671,0.3237190556403277,10,25045.80472420055,100.0
calendar_36,calendar,7,2,3.6849186393550624,0.32265896064493765,10,25133.230115917795,100.0
calendar_37,calendar,7,2,3.6645958035828228,0.3429817964171776,10,24943.85918514993,100.0
calendar_38,calendar,7,3,3.716088127566238,0.2914894724337603,10,35113.9292632359,100.0
calendar_39,calendar,7,3,3.687911312715795,0.31966628728420765,10,35109.538662347935,100.0
calendar_36,calendar,7,3,3.659561098353307,0.34801650164669357,10,35111.913410977715,100.0
calendar_37,calendar,7,3,3.6766547644114476,0.3309228355885533,10,34973.82347838427,100.0
calendar_42,calendar,10,1,3.504290531806611,0.5032870681933881,7,14812.871595419832,100.0
calendar_43,calendar,10,1,3.456510975232551,0.5510666247674488,7,14669.532925697653,100.0
calendar_40,calendar,10,1,3.497242457980172,0.5103351420198282,7,14791.727373940515,100.0
calendar_41,calendar,10,1,3.5538225486717194,0.45375505132828103,7,14961.467646015159,100.0
calendar_42,calendar,10,2,3.487014782962774,0.5205628170372286,7,24573.91594430815,100.0
calendar_43,calendar,10,2,3.5388476940248665,0.46872990597513264,7,24586.07600777225,100.0
calendar_40,calendar,10,2,3.562370436736324,0.44520716326367715,7,24778.838684149487,100.0
calendar_41,calendar,10,2,3.541452971475809,0.46612462852419256,7,24885.826560442587,100.0
calendar_42,calendar,10,3,3.471647985977762,0.5359296140222378,7,34288.85990224144,100.0
calendar_43,calendar,10,3,3.4966361917346367,0.5109414082653648,7,34375.98458297616,100.0
calendar_40,calendar,10,3,3.4377970411540977,0.569780558845903,7,34392.22980761178,100.0
calendar_41,calendar,10,3,3.5395633313208674,0.4680142686791333,7,34804.516554405185,100.0
calendar_46,calendar,10,1,3.5400861966726915,0.467491403327309,7,14920.258590018075,100.0
calendar_47,calendar,10,1,3.528682455453776,0.4788951445462234,7,14886.047366361328,100.0
calendar_44,calendar,10,1,3.5049225065712712,0.5026550934287314,7,14814.767519713814,100.0
calendar_45,calendar,10,1,3.544764579663671,0.46281302033632776,7,14934.293738991013,100.0
calendar_46,calendar,10,2,3.504132408780166,0.5034451912198336,7,24732.655816358572,100.0
calendar_47,calendar,10,2,3.5791094003631803,0.42846819963682,7,24923.37556745087,100.0
calendar_44,calendar,10,2,3.5319410739771615,0.47563652602283724,7,24710.590741645297,100.0
calendar_45,calendar,10,2,3.6235682293968656,0.3840093706031336,7,25104.99842718161,100.0
calendar_46,calendar,10,3,3.5386496946799046,0.46892790532009365,7,34648.604900398284,100.0
calendar_47,calendar,10,3,3.534232832032889,0.473344767967111,7,34826.07406354953,100.0
calendar_44,calendar,10,3,3.5226224687474623,0.48495513125253625,7,34578.458147887686,100.0
calendar_45,calendar,10,3,3.5633821871564697,0.44419541284353,7,35095.14498865102,100.0
calendar_48,calendar,10,1,3.476603857073858,0.5309737429261437,7,14729.811571221573,100.0
calendar_49,calendar,10,1,3.59618284130785,0.4113947586921515,7,15088.54852392355,100.0
calendar_50,calendar,10,1,3.5718248464607676,0.435752753539232,7,15015.474539382303,100.0
calendar_51,calendar,10,1,3.560279239885552,0.4472983601144494,7,14980.837719656656,100.0
calendar_48,calendar,10,2,3.593524586245517,0.4140530137544851,7,24810.385329958124,100.0
calendar_49,calendar,10,2,3.607425621958061,0.40015197804194,7,25210.825389797734,100.0
calendar_50,calendar,10,2,3.623517473074658,0.3840601269253405,7,25186.02695860628,100.0
calendar_51,calendar,10,2,3.5626085319257035,0.44496906807429637,7,24968.66331543377,100.0
calendar_48,calendar,10,3,3.545612006984616,0.4619655930153847,7,34747.221350911976,100.0
calendar_49,calendar,10,3,3.5787293114991114,0.42884828850088924,7,35247.01332429507,100.0
calendar_50,calendar,10,3,3.538976299659521,0.4686013003404795,7,35102.95585758484,100.0
calendar_51,calendar,10,3,3.532767159469228,0.47481044053077204,7,34866.96479384146,100.0
calendar_54,calendar,10,1,3.486873290315742,0.5207043096842595,7,14760.619870947225,100.0
calendar_55,calendar,10,1,3.5166283271804275,0.49094927281957296,7,14849.884981541283,100.0
calendar_52,calendar,10,1,3.5177848430316807,0.4897927569683195,7,14853.354529095042,100.0
calendar_53,calendar,10,1,3.5755668454755267,0.43201075452447385,7,15026.70053642658,100.0
calendar_54,calendar,10,2,3.5483066782832884,0.4592709217167127,7,24705.53990579709,100.0
calendar_55,calendar,10,2,3.529760077211189,0.4778175227888115,7,24739.16521317485,100.0
calendar_52,calendar,10,2,3.5109514181895345,0.4966261818104654,7,24686.208783663646,100.0
calendar_53,calendar,10,2,3.5692464330046745,0.43833116699532604,7,25034.439835440604,100.0
calendar_54,calendar,10,3,3.56916962267614,0.4384079773238605,7,34713.04877382551,100.0
calendar_55,calendar,10,3,3.5268983855036584,0.48067921449634277,7,34619.860369685826,100.0
calendar_52,calendar,10,3,3.5100522127445464,0.4975253872554543,7,34516.36542189728,100.0
calendar_53,calendar,10,3,3.513821931456168,0.49375566854383196,7,34875.90562980911,100.0
calendar_58,calendar,10,1,3.5510787834820055,0.45649881651799407,7,14953.236350446017,100.0
calendar_59,calendar,10,1,3.601252679449365,0.40632492055063346,7,15103.758038348094,100.0
calendar_56,calendar,10,1,3.517516593305532,0.49006100669446917,7,14852.549779916595,100.0
calendar_57,calendar,10,1,3.495809196269583,0.511768403730418,7,14787.42758880875,100.0
calendar_58,calendar,10,2,3.498246571291606,0.509331028708393,7,24747.976064320836,100.0
calendar_59,calendar,10,2,3.5508993043715065,0.4566782956284948,7,25056.455951462616,100.0
calendar_56,calendar,10,2,3.5487045408467712,0.4588730591532288,7,24798.663402456907,100.0
calendar_57,calendar,10,2,3.5071679078664375,0.5004096921335631,7,24608.931312408065,100.0
calendar_58,calendar,10,3,3.570640911689818,0.436936688310182,7,34759.89879939029,100.0
calendar_59,calendar,10,3,3.5517027825578316,0.45587481744216746,7,35011.56429913611,100.0
calendar_56,calendar,10,3,3.6003716947071736,0.4072059052928277,7,34899.77848657843,100.0
calendar_57,calendar,10,3,3.5576563846862412,0.44992121531376006,7,34581.90046646679,100.0
calendar_62,calendar,10,1,3.5923264935022856,0.4152511064977141,7,15076.979480506858,100.0
calendar_63,calendar,10,1,3.5487363994989174,0.458841200501083,7,14946.209198496752,100.0
calendar_60,calendar,10,1,3.529216745713045,0.4783608542869554,7,14887.650237139134,100.0
