run_id,plot_strategy,plot_pesticide,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
threshold_0,threshold,etofenprox,1,7,8,3.0770753730814504,0.9305022269185494,10,0.195,110.6
threshold_0,calendar,etofenprox,1,8,8,2.602847983214941,1.4047296167850587,5,0.0525,110.6
threshold_0,none,neonicotinoid,1,9,8,2.3976763992019783,1.6099012007980213,0,0.0,100.0
threshold_0,threshold,etofenprox,1,0,9,3.485375536550059,0.5222020634499415,9,0.1575,110.6
threshold_0,none,neonicotinoid,1,1,9,2.834383549501028,1.1731940504989724,0,0.0,100.0
threshold_0,threshold,etofenprox,1,2,9,3.385637499729021,0.6219401002709791,10,0.195,110.6
threshold_0,calendar,etofenprox,1,3,9,3.3056371592324463,0.7019404407675525,5,0.0525,110.6
threshold_0,threshold,neonicotinoid,1,4,9,3.4907918849200836,0.516785715079915,9,0.26249999999999996,100.0
threshold_0,calendar,etofenprox,1,5,9,3.350725283532299,0.6568523164676988,5,0.0525,110.6
threshold_0,threshold,etofenprox,1,6,9,3.45226757459109,0.5553100254089097,9,0.1575,110.6
threshold_0,threshold,neonicotinoid,1,7,9,3.340426387583483,0.6671512124165178,10,0.32499999999999996,100.0
threshold_0,none,etofenprox,1,8,9,2.410956119257335,1.5966214807426644,0,0.0,110.6
threshold_0,none,etofenprox,1,9,9,2.5992618917940966,1.4083157082059028,0,0.0,110.6
threshold_1,threshold,neonicotinoid,1,0,0,3.541187238806509,0.4663903611934909,6,0.11249999999999999,100.0
threshold_1,calendar,etofenprox,1,1,0,3.3610324866852626,0.6465451133147374,5,0.0525,110.6
threshold_1,threshold,neonicotinoid,1,2,0,3.512525207786544,0.4950523922134545,9,0.26249999999999996,100.0
threshold_1,calendar,neonicotinoid,1,3,0,3.3927598886305748,0.6148177113694261,5,0.0875,100.0
threshold_1,threshold,etofenprox,1,4,0,3.482496879242365,0.5250807207576361,9,0.1575,110.6
threshold_1,threshold,etofenprox,1,5,0,3.491401747331119,0.516175852668882,9,0.1575,110.6
threshold_1,calendar,neonicotinoid,1,6,0,3.3760758752321363,0.631501724767864,5,0.0875,100.0
threshold_1,threshold,etofenprox,1,7,0,3.3833527072621807,0.6242248927378197,9,0.1575,110.6
threshold_1,none,neonicotinoid,1,8,0,2.504078085921365,1.5034995140786354,0,0.0,100.0
threshold_1,none,neonicotinoid,1,9,0,2.8018912614365683,1.2056863385634324,0,0.0,100.0
threshold_1,threshold,etofenprox,1,0,1,3.4648061768555802,0.5427714231444208,9,0.1575,110.6
threshold_1,threshold,neonicotinoid,1,1,1,3.3495810143215854,0.6579965856784157,10,0.32499999999999996,100.0
threshold_1,calendar,etofenprox,1,2,1,3.147698562330723,0.8598790376692768,5,0.0525,110.6
