run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_22,none,0.8,0.03,1,2.2710445574694202,1.73653304253058,0,11813.133672408261,100.0
none_23,none,0.8,0.03,1,2.309849023286604,1.6977285767133958,0,11929.547069859811,100.0
none_20,none,0.8,0.03,1,2.287069977127475,1.7205076228725256,0,11861.209931382426,100.0
none_21,none,0.8,0.03,1,2.2590528239747263,1.7485247760252745,0,11777.15847192418,100.0
none_22,none,0.8,0.03,2,2.2420663193736665,1.7655112806263344,0,18539.33263052926,100.0
none_23,none,0.8,0.03,2,2.260425670204105,1.747151929795896,0,18710.824080472124,100.0
none_20,none,0.8,0.03,2,2.3597323938778634,1.6478452061221365,0,18940.407113016016,100.0
none_21,none,0.8,0.03,2,2.275072815958484,1.7325047840415162,0,18602.376919799633,100.0
none_22,none,0.8,0.03,3,2.277500512268839,1.7300770877311615,0,25371.83416733578,100.0
none_23,none,0.8,0.03,3,2.2900623380264817,1.7175152619735183,0,25581.01109455157,100.0
none_20,none,0.8,0.03,3,2.2323418380304303,1.7752357619695707,0,25637.432627107308,100.0
none_21,none,0.8,0.03,3,2.2733270345223704,1.7342505654776301,0,25422.358023366745,100.0
none_26,none,0.8,0.03,1,2.261152228559081,1.7464253714409197,0,11783.456685677244,100.0
none_27,none,0.8,0.03,1,2.279872370723992,1.7277052292760087,0,11839.617112171976,100.0
none_24,none,0.8,0.03,1,2.2967453425281628,1.7108322574718373,0,11890.236027584488,100.0
none_25,none,0.8,0.03,1,2.2548556119274688,1.7527219880725318,0,11764.566835782407,100.0
none_26,none,0.8,0.03,2,2.3087460228384336,1.6988315771615663,0,18709.694754192544,100.0
none_27,none,0.8,0.03,2,2.232397466024426,1.775180133975575,0,18536.809510245253,100.0
none_24,none,0.8,0.03,2,2.2888249925520525,1.718752607447948,0,18756.711005240646,100.0
none_25,none,0.8,0.03,2,2.342906680810497,1.664670919189503,0,18793.286878213898,100.0
none_26,none,0.8,0.03,3,2.2323418380304303,1.7752357619695707,0,25406.720268283832,100.0
none_27,none,0.8,0.03,3,2.31793559969376,1.68964200030624,0,25490.616309326535,100.0
none_24,none,0.8,0.03,3,2.336475903416008,1.6711016965839915,0,25766.13871548867,100.0
none_25,none,0.8,0.03,3,2.3024566986090425,1.7051209013909576,0,25700.656974041027,100.0
none_30,none,0.8,0.03,1,2.2866633177060893,1.720914282293911,0,11859.989953118267,100.0
none_31,none,0.8,0.03,1,2.2626270928884,1.7449505071116012,0,11787.8812786652,100.0
none_28,none,0.8,0.03,1,2.3060935561879115,1.7014840438120888,0,11918.280668563733,100.0
none_29,none,0.8,0.03,1,2.2939642119531203,1.71361338804688,0,11881.89263585936,100.0
none_30,none,0.8,0.03,2,2.2863802631508574,1.721197336849143,0,18719.13074257084,100.0
none_31,none,0.8,0.03,2,2.2572916960849163,1.7502859039150844,0,18559.756366919948,100.0
none_28,none,0.8,0.03,2,2.268811536498645,1.7387660635013553,0,18724.715278059666,100.0
none_29,none,0.8,0.03,2,2.3391586813266785,1.6684189186733216,0,18899.368679839397,100.0
none_30,none,0.8,0.03,3,2.2789477726669034,1.7286298273330973,0,25555.97406057155,100.0
none_31,none,0.8,0.03,3,2.3574929511665337,1.650084648833466,0,25632.23522041955,100.0
none_28,none,0.8,0.03,3,2.307888471984649,1.6996891280153514,0,25648.380694013613,100.0
none_29,none,0.8,0.03,3,2.2833336345641104,1.7242439654358899,0,25749.369583531727,100.0
none_34,none,0.8,0.03,1,2.2790068193454496,1.7285707806545505,0,11837.02045803635,100.0
none_35,none,0.8,0.03,1,2.286300574166038,1.7212770258339622,0,11858.901722498114,100.0
none_32,none,0.8,0.03,1,2.2656683722216076,1.741909227778393,0,11797.005116664823,100.0
none_33,none,0.8,0.03,1,2.2863481664875174,1.7212294335124827,0,11859.044499462552,100.0
none_34,none,0.8,0.03,2,2.347343307460176,1.660234292539824,0,18879.050380416877,100.0
none_35,none,0.8,0.03,2,2.305800347014414,1.701777252985586,0,18776.302763541356,100.0
none_32,none,0.8,0.03,2,2.2898485736089453,1.717729026391055,0,18666.55083749166,100.0
none_33,none,0.8,0.03,2,2.29075403841198,1.7168235615880203,0,18731.306614698493,100.0
none_34,none,0.8,0.03,3,2.2698803411925477,1.7376972588074528,0,25688.69140399452,100.0
none_35,none,0.8,0.03,3,2.287262770472267,1.720314829527733,0,25638.091074958156,100.0
none_32,none,0.8,0.03,3,2.2882126907567195,1.7193649092432803,0,25531.18890976182,100.0
none_33,none,0.8,0.03,3,2.2933641760778496,1.7142134239221503,0,25611.39914293204,100.0
none_38,none,0.8,0.03,1,2.2481852138045775,1.7593923861954235,0,11744.555641413732,100.0
none_39,none,0.8,0.03,1,2.405255009260735,1.602322590739264,0,12215.765027782207,100.0
none_36,none,0.8,0.03,1,2.3254687973429546,1.6821088026570454,0,11976.406392028865,100.0
none_37,none,0.8,0.03,1,2.2840947193109424,1.7234828806890583,0,11852.284157932827,100.0
none_38,none,0.8,0.03,2,2.3103588074702617,1.6972187925297388,0,18675.632063824516,100.0
none_39,none,0.8,0.03,2,2.2731312788477074,1.7344463211522934,0,19035.158864325327,100.0
none_36,none,0.8,0.03,2,2.3066052775064985,1.7009723224935016,0,18896.22222454836,100.0
none_37,none,0.8,0.03,2,2.3463149970104835,1.6612626029895163,0,18891.229148964278,100.0
none_38,none,0.8,0.03,3,2.2501943980029524,1.7573832019970481,0,25426.215257833373,100.0
none_39,none,0.8,0.03,3,2.3124287175175877,1.695148882482412,0,25972.44501687809,100.0
none_36,none,0.8,0.03,3,2.374593961775431,1.6329836382245686,0,26020.00410987465,100.0
none_37,none,0.8,0.03,3,2.343021852721951,1.6645557472780488,0,25920.29470713013,100.0
calendar_42,calendar,0.8,0.03,1,3.2401598732982366,0.7674177267017637,5,14220.47961989471,100.0
calendar_43,calendar,0.8,0.03,1,3.2016792499087816,0.8058983500912212,5,14105.037749726345,100.0
calendar_40,calendar,0.8,0.03,1,3.365194592151231,0.6423830078487711,5,14595.583776453694,100.0
calendar_41,calendar,0.8,0.03,1,3.358425991464046,0.6491516085359545,5,14575.277974392138,100.0
calendar_42,calendar,0.8,0.03,2,3.3174549699274185,0.6901226300725829,5,23672.844529676964,100.0
calendar_43,calendar,0.8,0.03,2,3.3105991179857193,0.6969784820142814,5,23536.8351036835,100.0
calendar_40,calendar,0.8,0.03,2,3.340154637202379,0.6674229627976199,5,24116.047688060833,100.0
calendar_41,calendar,0.8,0.03,2,3.3094762816666186,0.6981013183333833,5,24003.70681939199,100.0
calendar_42,calendar,0.8,0.03,3,3.3294449243676576,0.6781326756323415,5,33161.179302779936,100.0
calendar_43,calendar,0.8,0.03,3,3.3793450835246284,0.628232516475372,5,33174.870354257386,100.0
calendar_40,calendar,0.8,0.03,3,3.3361835913571367,0.6713940086428637,5,33624.59846213224,100.0
calendar_41,calendar,0.8,0.03,3,3.324661515800875,0.6829160841991235,5,33477.69136679462,100.0
calendar_46,calendar,0.8,0.03,1,3.189145435516245,0.8184321644837558,5,14067.436306548736,100.0
calendar_47,calendar,0.8,0.03,1,3.317961494672829,0.6896161053271723,5,14453.884484018487,100.0
calendar_44,calendar,0.8,0.03,1,3.317835485167188,0.6897421148328133,5,14453.506455501563,100.0
calendar_45,calendar,0.8,0.03,1,3.3820465974929785,0.6255310025070215,5,14646.139792478936,100.0
calendar_46,calendar,0.8,0.03,2,3.2917355016282097,0.7158420983717906,5,23442.642811433365,100.0
calendar_47,calendar,0.8,0.03,2,3.3532174494920803,0.65436015050792,5,24013.536832494727,100.0
calendar_44,calendar,0.8,0.03,2,3.301378784516732,0.7061988154832688,5,23857.64280905176,100.0
calendar_45,calendar,0.8,0.03,2,3.3338508927153896,0.673726707284611,5,24147.692470625105,100.0
calendar_46,calendar,0.8,0.03,3,3.43478461729509,0.5727929827049093,5,33246.996663318634,100.0
calendar_47,calendar,0.8,0.03,3,3.345643931417579,0.6619336685824209,5,33550.46862674746,100.0
calendar_44,calendar,0.8,0.03,3,3.244458209783356,0.7631193902166442,5,33091.017438401825,100.0
calendar_45,calendar,0.8,0.03,3,3.381055214661086,0.6265223853389127,5,33790.85811460836,100.0
calendar_50,calendar,0.8,0.03,1,3.365239871445199,0.6423377285548014,5,14595.719614335598,100.0
calendar_51,calendar,0.8,0.03,1,3.347030473136722,0.6605471268632789,5,14541.091419410166,100.0
calendar_48,calendar,0.8,0.03,1,3.3976541175198407,0.6099234824801605,5,14692.962352559522,100.0
calendar_49,calendar,0.8,0.03,1,3.280685837753062,0.7268917622469381,5,14342.057513259186,100.0
calendar_50,calendar,0.8,0.03,2,3.424313356714167,0.583264243285834,5,24368.659684478098,100.0
calendar_51,calendar,0.8,0.03,2,3.3685382638041395,0.6390393361958611,5,24146.706210822584,100.0
calendar_48,calendar,0.8,0.03,2,3.332319154500033,0.6752584454999684,5,24189.91981605962,100.0
calendar_49,calendar,0.8,0.03,2,3.348771496152433,0.6588061038475677,5,23888.372001716485,100.0
calendar_50,calendar,0.8,0.03,3,3.359563107508137,0.648014492491863,5,33947.34900700251,100.0
