run_id,strategy,calendar_interval,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction
calendar_12,calendar,7,3,3,0,2.5658979953886494,1.4416796046113507,10,0.7800000000000004
calendar_12,calendar,7,3,4,0,2.569988748978833,1.437588851021167,10,0.7800000000000004
calendar_12,calendar,7,3,5,0,2.595847069353354,1.4117305306466457,10,0.7800000000000004
calendar_12,calendar,7,3,6,0,2.564037162994419,1.4435404370055798,10,0.7800000000000004
calendar_12,calendar,7,3,7,0,2.557307976301469,1.4502696236985317,10,0.7800000000000004
calendar_12,calendar,7,3,8,0,2.4163479828860632,1.5912296171139364,10,0.7800000000000004
calendar_12,calendar,7,3,9,0,2.8070289928902943,1.2005486071097067,10,0.7800000000000004
calendar_12,calendar,7,3,0,1,2.4526090245895995,1.5549685754104008,10,0.7800000000000004
calendar_12,calendar,7,3,1,1,2.2784629352551717,1.7291146647448283,10,0.7800000000000004
calendar_12,calendar,7,3,2,1,2.310370711610961,1.6972068883890383,10,0.7800000000000004
calendar_12,calendar,7,3,3,1,2.3357512539109746,1.6718263460890253,10,0.7800000000000004
calendar_12,calendar,7,3,4,1,2.33581317970286,1.671764420297139,10,0.7800000000000004
calendar_12,calendar,7,3,5,1,2.3218703880571163,1.6857072119428833,10,0.7800000000000004
calendar_12,calendar,7,3,6,1,2.343439008795384,1.6641385912046154,10,0.7800000000000004
calendar_12,calendar,7,3,7,1,2.3192996704581783,1.6882779295418209,10,0.7800000000000004
calendar_12,calendar,7,3,8,1,2.250068480533822,1.7575091194661778,10,0.7800000000000004
calendar_12,calendar,7,3,9,1,2.464664283577881,1.5429133164221185,10,0.7800000000000004
calendar_12,calendar,7,3,0,2,2.62393856131281,1.3836390386871904,10,0.7800000000000004
calendar_12,calendar,7,3,1,2,2.3351598787419903,1.672417721258009,10,0.7800000000000004
calendar_12,calendar,7,3,2,2,2.3986007673138503,1.6089768326861482,10,0.7800000000000004
calendar_12,calendar,7,3,3,2,2.416430188123939,1.5911474118760591,10,0.7800000000000004
calendar_12,calendar,7,3,4,2,2.4010620740632023,1.6065155259367974,10,0.7800000000000004
calendar_12,calendar,7,3,5,2,2.417898520493904,1.5896790795060955,10,0.7800000000000004
calendar_12,calendar,7,3,6,2,2.4002071842203465,1.607370415779652,10,0.7800000000000004
calendar_12,calendar,7,3,7,2,2.3626307346504656,1.6449468653495336,10,0.7800000000000004
calendar_12,calendar,7,3,8,2,2.293717564386246,1.713860035613753,10,0.7800000000000004
calendar_12,calendar,7,3,9,2,2.598060520019109,1.4095170799808903,10,0.7800000000000004
calendar_12,calendar,7,3,0,3,2.546936085412078,1.4606415145879215,10,0.7800000000000004
calendar_12,calendar,7,3,1,3,2.329496043538972,1.6780815564610274,10,0.7800000000000004
calendar_12,calendar,7,3,2,3,2.3937099919583233,1.6138676080416758,10,0.7800000000000004
calendar_12,calendar,7,3,3,3,2.5033775253746757,1.504200074625324,10,0.7800000000000004
calendar_12,calendar,7,3,4,3,2.4637708117851207,1.5438067882148798,10,0.7800000000000004
calendar_12,calendar,7,3,5,3,2.3507249848301526,1.656852615169847,10,0.7800000000000004
calendar_12,calendar,7,3,6,3,2.3920688159901196,1.6155087840098799,10,0.7800000000000004
