run_id,strategy,pesticide_threshold,season,grain_tha,pest_loss_tha,spray_count,end_money
threshold_32,threshold,0.1,2,3.545312531418343,0.4622650685816568,10,24054.77619710597
threshold_35,threshold,0.1,2,3.5243158465349382,0.48326175346506306,10,24125.561678228165
threshold_34,threshold,0.1,2,3.5477750718216137,0.45980252817838557,10,24212.13477717832
threshold_33,threshold,0.1,3,3.5122586476040034,0.4953189523959956,10,33734.55880304436
threshold_32,threshold,0.1,3,3.5081643226500723,0.4994132773499276,10,33579.26916505619
threshold_35,threshold,0.1,3,3.5391960910022653,0.46838150899773456,10,33743.14995123496
threshold_34,threshold,0.1,3,3.5196879761112423,0.48788962388875723,10,33771.19870551205
threshold_37,threshold,0.1,1,3.5541226686778953,0.45345493132210507,10,14662.368006033686
threshold_36,threshold,0.1,1,3.492539427486359,0.5150381725136416,10,14477.618282459078
threshold_39,threshold,0.1,1,3.4954767861864484,0.5121008138135524,10,14486.430358559346
threshold_38,threshold,0.1,1,3.506083635716576,0.501493964283424,10,14518.250907149728
threshold_37,threshold,0.1,2,3.485941630772566,0.5216359692274337,10,24120.192898351386
threshold_36,threshold,0.1,2,3.5428882295937547,0.4646893704062463,10,24106.28297124034
threshold_39,threshold,0.1,2,3.4893034138145125,0.5182741861854877,10,23954.340600002884
threshold_38,threshold,0.1,2,3.5230621608087906,0.4845154391912086,10,24087.437389576102
threshold_37,threshold,0.1,3,3.493209302179431,0.5143682978205693,10,33599.82080488968
threshold_36,threshold,0.1,3,3.524782176139638,0.4827954238603624,10,33680.629499659255
threshold_39,threshold,0.1,3,3.5414112577838006,0.46616634221619857,10,33578.574373354284
threshold_38,threshold,0.1,3,3.487734567425501,0.5198430325744995,10,33550.64109185261
threshold_41,threshold,0.2,1,3.448201153047055,0.559376446952946,10,14344.603459141164
threshold_40,threshold,0.2,1,3.5503645271923023,0.45721307280769713,9,14751.093581576906
threshold_43,threshold,0.2,1,3.4875762587791628,0.520001341220837,10,14462.728776337488
threshold_42,threshold,0.2,1,3.513057068383488,0.4945205316165115,10,14539.171205150464
threshold_41,threshold,0.2,2,3.4984580309782247,0.5091195690217769,10,23839.97755207584
threshold_40,threshold,0.2,2,3.4811419077916113,0.5264356922083906,10,24194.51930495174
threshold_43,threshold,0.2,2,3.521906125671054,0.48567147432894653,10,24028.44715335065
threshold_42,threshold,0.2,2,3.513416216878996,0.4941613831210035,10,24079.41985578745
