run_id,strategy,calendar_interval,season,grain_tha,pest_loss_tha,spray_count,end_money
calendar_8,calendar,7,2,3.539567298070202,0.46801030192979787,10,24185.79759430261
calendar_9,calendar,7,2,3.553376426050314,0.454201173949687,10,24294.53606024573
calendar_10,calendar,7,3,3.487304320554815,0.5202732794451846,10,33538.96943830283
calendar_11,calendar,7,3,3.5342334077797055,0.4733441922202957,10,33472.18567842663
calendar_8,calendar,7,3,3.5155802098368536,0.49199739016314636,10,33732.53822381317
calendar_9,calendar,7,3,3.5158643803578253,0.4917132196421747,10,33842.12920131921
calendar_14,calendar,7,1,3.560488005634419,0.4470895943655805,10,14681.464016903257
calendar_15,calendar,7,1,3.56116169625101,0.446415903748989,10,14683.48508875303
calendar_12,calendar,7,1,3.506700703631213,0.5008768963687865,10,14520.102110893638
calendar_13,calendar,7,1,3.496104339325248,0.5114732606747503,10,14488.313017975743
calendar_14,calendar,7,2,3.5684041729931217,0.4391734270068798,10,24386.676535882623
calendar_15,calendar,7,2,3.583084646134947,0.42449295386505237,10,24432.73902715787
calendar_12,calendar,7,2,3.4927624182833394,0.5148151817166605,10,23998.389365743657
calendar_13,calendar,7,2,3.569622449457057,0.4379551505429435,10,24197.180366346915
calendar_14,calendar,7,3,3.5047994654508847,0.5027781345491146,10,33901.07493223528
calendar_15,calendar,7,3,3.50499165211396,0.5025859478860405,10,33947.71398349975
calendar_12,calendar,7,3,3.4860727452540843,0.5215048547459182,10,33456.60760150591
calendar_13,calendar,7,3,3.5625104129496545,0.4450671870503459,10,33884.71160519588
calendar_18,calendar,7,1,3.5962737197268773,0.4113038802731235,10,14788.821159180632
calendar_19,calendar,7,1,3.566217336407517,0.44136026359248376,10,14698.652009222551
calendar_16,calendar,7,1,3.503111317172158,0.5044662828278423,10,14509.333951516473
calendar_17,calendar,7,1,3.509822714767448,0.4977548852325501,10,14529.468144302344
calendar_18,calendar,7,2,3.5491879740606214,0.45838962593937965,10,24436.385081362496
calendar_19,calendar,7,2,3.472242600976685,0.5353349990233162,10,24115.379812152605
calendar_16,calendar,7,2,3.495240766286847,0.5123368337131524,10,23995.056250377012
calendar_17,calendar,7,2,3.498812812330972,0.5087647876690293,10,24025.90658129526
calendar_18,calendar,7,3,3.534770660199958,0.4728069398000438,10,34040.69706196237
calendar_19,calendar,7,3,3.5512481027984513,0.4563294972015485,10,33769.12412054796
calendar_16,calendar,7,3,3.5316832679920123,0.47589433200798825,10,33590.10605435305
calendar_17,calendar,7,3,3.5464904309076344,0.4610871690923648,10,33665.377874018166
calendar_22,calendar,7,1,3.5014017838075064,0.5061758161924926,10,14504.205351422519
calendar_23,calendar,7,1,3.5515375662871667,0.45604003371283486,10,14654.6126988615
calendar_20,calendar,7,1,3.592106245016311,0.41547135498368987,10,14776.318735048933
calendar_21,calendar,7,1,3.5219276713827314,0.4856499286172691,10,14565.783014148194
calendar_22,calendar,7,2,3.6010576274231103,0.4065199725768916,10,24307.378233691852
calendar_23,calendar,7,2,3.5285264150585416,0.4790511849414589,10,24240.191944037124
calendar_20,calendar,7,2,3.5205017967613856,0.4870758032386144,10,24337.824125333093
