run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money
none_34,none,1,2.211901622680421,1.7956759773195798,0,11635.704868041263
none_35,none,1,2.195683767725478,1.8118938322745228,0,11587.051303176435
none_32,none,1,2.220894061584509,1.7866835384154918,0,11662.682184753527
none_33,none,1,2.165673018887069,1.841904581112932,0,11497.019056661207
none_34,none,2,2.2736194781238677,1.7339581218761329,0,18456.563302412866
none_35,none,2,2.201277343228727,1.8063002567712747,0,18190.883332862617
none_32,none,2,2.206365678430341,1.8012119215696598,0,18281.77922004455
none_33,none,2,2.1507662199706252,1.8568113800293764,0,17949.31771657308
none_34,none,3,2.269360309206376,1.7382172907936244,0,25264.644230031994
none_35,none,3,2.278905713956242,1.7286718860437587,0,25027.600474731342
none_32,none,3,2.207381915015924,1.800195684984077,0,24903.924965092323
none_33,none,3,2.1926868202204197,1.8148907797795815,0,24527.37817723434
none_38,none,1,2.221913126428665,1.785664473571336,0,11665.739379285995
none_39,none,1,2.2165756418583284,1.7910019581416725,0,11649.726925574985
none_36,none,1,2.1619514436318457,1.8456261563681557,0,11485.854330895538
none_37,none,1,2.184613933849204,1.8229636661507977,0,11553.841801547613
none_38,none,2,2.1582506825863126,1.849326917413689,0,18140.491427044934
none_39,none,2,2.1850076681918633,1.8225699318081376,0,18204.749930150574
none_36,none,2,2.194005654628135,1.813571945371866,0,18067.871294779943
none_37,none,2,2.257477300838956,1.7501002991610446,0,18326.273704064482
none_38,none,3,2.26122703304574,1.7463505669542607,0,24924.172526182152
none_39,none,3,2.2397697288777074,1.7678078711222935,0,24924.059116783697
none_36,none,3,2.2658352049105863,1.741742395089414,0,24865.376909511702
none_37,none,3,2.1960543937492116,1.8115232062507896,0,24914.43688531212
calendar_42,calendar,1,3.066845940248583,0.940731659751418,5,13700.537820745749
calendar_43,calendar,1,2.989330406326957,1.018247193673043,5,13467.991218980871
calendar_40,calendar,1,2.9714477041452407,1.0361298958547596,5,13414.343112435723
calendar_41,calendar,1,2.9606664718892315,1.0469111281107693,5,13381.999415667695
calendar_42,calendar,2,3.185885806768388,0.8216917932316125,5,22758.19524105091
calendar_43,calendar,2,3.0978377141752604,0.9097398858247414,5,22261.504361506653
calendar_40,calendar,2,2.9672700238619223,1.0403075761380773,5,21816.15318402149
calendar_41,calendar,2,3.0288810220111024,0.9786965779888973,5,21968.642481701005
calendar_42,calendar,3,3.1780122789869525,0.8295653210130489,5,31792.232078011766
calendar_43,calendar,3,2.9779980389824185,1.0295795610175806,5,30695.49847845391
calendar_40,calendar,3,3.0574100417001717,0.9501675582998282,5,30488.383309122004
calendar_41,calendar,3,3.016450891889956,0.9911267081100438,5,30517.995157370875
calendar_46,calendar,1,3.0731737539293444,0.9344038460706555,5,13719.521261788033
calendar_47,calendar,1,2.915182826480915,1.0923947735190844,5,13245.548479442745
calendar_44,calendar,1,3.1298419157647084,0.8777356842352916,5,13889.525747294125
calendar_45,calendar,1,3.0291157988271675,0.9784618011728315,5,13587.347396481502
calendar_46,calendar,2,3.1193301528294377,0.888247447170562,5,22577.511720276347
calendar_47,calendar,2,3.017081178425905,0.9904964215740947,5,21796.792014720457
calendar_44,calendar,2,3.000000970886495,1.0075766291135044,5,22389.528659953612
calendar_45,calendar,2,3.065093057374202,0.9424845426257973,5,22282.626568604108
calendar_46,calendar,3,3.16853919129088,0.839038408709119,5,31583.12929414899
calendar_47,calendar,3,3.053170340494663,0.9544072595053358,5,30456.303036204445
calendar_44,calendar,3,2.912373317277038,1.0952042827229618,5,30626.648611784727
calendar_45,calendar,3,2.9364963313688186,1.0710812686311817,5,30592.11556271056
calendar_50,calendar,1,2.999195279290941,1.0083823207090585,5,13497.585837872823
