cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass,cumulative_pest_exposure,days_above_threshold
216,3,none,1.0,0.5,0,64,348.0746301155472,48.959743119729694,55
217,3,none,1.0,0.5,0,65,354.2954301155472,49.959743119729694,56
218,3,none,1.0,0.5,0,66,360.5162301155472,50.959743119729694,57
219,3,none,1.0,0.5,0,67,366.7370301155472,51.959743119729694,58
220,3,none,1.0,0.5,0,68,372.9578301155472,52.959743119729694,59
221,3,none,1.0,0.5,0,69,379.1786301155472,53.959743119729694,60
222,3,none,1.0,0.5,0,70,385.3994301155472,54.959743119729694,61
223,3,none,1.0,0.5,0,71,391.6202301155472,55.959743119729694,62
224,3,none,1.0,0.5,0,72,397.8410301155472,56.959743119729694,63
225,3,none,1.0,0.5,0,73,404.0618301155472,57.959743119729694,64
226,3,none,1.0,0.5,0,74,410.2826301155472,58.959743119729694,65
227,3,none,1.0,0.6,0,75,417.33287011554717,59.959743119729694,66
