cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass,cumulative_pest_exposure,days_above_threshold
82,2,calendar,0.16024429776833762,0.8557801320084961,0,6,33.97086057100208,0.47032050602360786,0
83,2,calendar,0.19553844887800795,0.8240153960097929,0,7,41.94469275510964,0.6658589549016158,0
84,2,calendar,0.23199864815203958,0.7912012166631643,0,8,49.60098868851575,0.8978576030536554,0
85,2,calendar,0.26966341948968664,0.757302922459282,0,9,56.92925760856973,1.1675210225433421,0
86,2,calendar,0.30857255954278695,0.7222846964114917,0,10,63.91866215880445,1.4760935820861292,1
87,2,calendar,0.3487671797649616,0.6861095382115345,0,11,70.55800693816983,1.8248607618510908,2
88,2,calendar,0.39028974985003634,0.6487392251349673,0,12,76.83572667195588,2.215150511701127,3
89,2,calendar,0.4331841426055818,0.6101342716549764,0,13,82.73987399190676,2.648334654306709,4
90,2,calendar,0.47749568030898504,0.5702538877219134,0,14,88.25810681261417,3.125830334615694,5
91,2,calendar,0.12865423651900662,0.884211187132894,1,1,96.81444162826176,3.2544845711347006,5
92,2,calendar,0.16290471518512156,0.8533857563333906,1,2,105.07248491514872,3.417389286319822,5
93,2,calendar,0.16290471518512156,0.8533857563333906,1,3,113.33052820203568,3.5802940015049436,5
94,2,calendar,0.16290471518512156,0.8533857563333906,1,4,121.58857148892264,3.743198716690065,5
95,2,calendar,0.16290471518512156,0.8533857563333906,1,5,129.8466147758096,3.9061034318751866,5
96,2,calendar,0.1982867611654076,0.8215419149511332,1,6,137.7965115784087,4.104390193040595,5
97,2,calendar,0.23483775918079033,0.7886460167372887,1,7,145.4280813531721,4.339227952221385,5
98,2,calendar,0.27259632906860526,0.7546633038382553,1,8,152.73080721175413,4.61182428128999,5
99,2,calendar,0.3116023665883738,0.7195578700704636,1,9,159.69382480885199,4.9234266478783635,6
100,2,calendar,0.3518970855757205,0.6832926229818514,1,10,166.30591086292276,5.275323733454084,7
101,2,calendar,0.3935230614889712,0.6458292446599259,1,11,172.55547129764793,5.668846794943056,8
