run_id,strategy,pesticide_threshold,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
threshold_3,threshold,0.1,1,7,7,3.4129996166847323,0.594577983315268,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,8,7,3.3681907715180053,0.6393868284819952,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,9,7,3.4861774296885244,0.5214001703114766,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,0,8,3.480547119163456,0.5270304808365451,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,1,8,3.347356220044083,0.6602213799559151,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,2,8,3.398969017464001,0.6086085825359989,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,3,8,3.4046272194732143,0.6029503805267873,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,4,8,3.3897517505882235,0.6178258494117775,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,5,8,3.373282016248096,0.6342955837519039,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,6,8,3.410843257107352,0.5967343428926463,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,7,8,3.355729617175876,0.6518479828241232,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,8,8,3.3426268074477914,0.6649507925522083,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,9,8,3.4386073992102406,0.5689702007897582,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,0,9,3.5652138080261966,0.4423637919738042,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,1,9,3.4684693741710184,0.5391082258289817,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,2,9,3.4935108995246917,0.5140667004753093,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,3,9,3.4874870245968923,0.5200905754031071,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,4,9,3.4845266066951015,0.5230509933048988,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,5,9,3.4864113089428224,0.5211662910571786,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,6,9,3.494192725013413,0.5133848749865886,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,7,9,3.4408049963767056,0.566772603623295,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,8,9,3.423496166589784,0.5840814334102153,10,0.32499999999999996,100.0
threshold_3,threshold,0.1,1,9,9,3.533287825915345,0.474289774084654,10,0.32499999999999996,100.0
threshold_2,threshold,0.1,1,0,0,3.5912148228973435,0.41636277710265746,10,0.32499999999999996,100.0
threshold_2,threshold,0.1,1,1,0,3.481899514004632,0.5256780859953658,10,0.32499999999999996,100.0
threshold_2,threshold,0.1,1,2,0,3.486971422689881,0.5206061773101188,10,0.32499999999999996,100.0
threshold_2,threshold,0.1,1,3,0,3.5296171480592036,0.47796045194079684,10,0.32499999999999996,100.0
threshold_2,threshold,0.1,1,4,0,3.4935658344297558,0.5140117655702453,10,0.32499999999999996,100.0
threshold_2,threshold,0.1,1,5,0,3.451920822317762,0.5556567776822376,10,0.32499999999999996,100.0
threshold_2,threshold,0.1,1,6,0,3.472579880152531,0.5349977198474696,10,0.32499999999999996,100.0
