Parameter Sweep,Strategy,Season,Spray Day (Cycle),Pest Load Before,Pest Load After,Cumulative Sprays
eff06,threshold,3,160,0.4,0.26,1
eff06,threshold,3,167,0.66,0.364,2
eff06,threshold,3,174,0.964,0.486,3
eff06,threshold,3,181,1.0,0.5,4
eff06,threshold,3,188,0.7,0.38,5
eff06,threshold,3,195,0.78,0.312,6
eff06,threshold,3,202,0.812,0.425,7
eff06,threshold,3,209,0.925,0.47,8
eff06,threshold,3,216,0.87,0.348,9
eff06,threshold,3,223,0.848,0.439,10
eff09,threshold,1,8,0.4,0.14,1
eff09,threshold,1,15,0.54,0.154,2
eff09,threshold,1,22,0.554,0.055,3
eff09,threshold,1,29,0.655,0.166,4
eff09,threshold,1,36,0.566,0.157,5
eff09,threshold,1,43,0.557,0.156,6
eff09,threshold,1,50,0.656,0.166,7
eff09,threshold,1,57,0.666,0.067,8
eff09,threshold,1,66,0.367,0.137,9
eff09,threshold,1,73,0.637,0.164,10
eff09,threshold,2,84,0.7,0.17,1
eff09,threshold,2,91,0.77,0.077,2
eff09,threshold,2,98,0.477,0.148,3
eff09,threshold,2,105,0.748,0.075,4
eff09,threshold,2,113,0.375,0.137,5
eff09,threshold,2,120,0.637,0.164,6
eff09,threshold,2,127,0.664,0.166,7
eff09,threshold,2,134,0.766,0.177,8
eff09,threshold,2,141,0.577,0.158,9
eff09,threshold,2,148,0.558,0.156,10
eff09,threshold,3,160,0.4,0.14,1
eff09,threshold,3,167,0.74,0.074,2
eff09,threshold,3,174,0.574,0.157,3
eff09,threshold,3,181,0.657,0.166,4
eff09,threshold,3,188,0.666,0.167,5
eff09,threshold,3,195,0.567,0.157,6
eff09,threshold,3,202,0.657,0.166,7
eff09,threshold,3,209,0.666,0.167,8
eff09,threshold,3,216,0.667,0.167,9
eff09,threshold,3,223,0.667,0.167,10
inc05,threshold,1,8,0.35,0.12,1
inc05,threshold,1,15,0.32,0.114,2
inc05,threshold,1,23,0.314,0.113,3
inc05,threshold,1,30,0.363,0.073,4
inc05,threshold,1,38,0.323,0.115,5
inc05,threshold,1,45,0.365,0.123,6
inc05,threshold,1,52,0.373,0.125,7
inc05,threshold,1,59,0.325,0.115,8
inc05,threshold,1,66,0.365,0.123,9
inc05,threshold,1,73,0.423,0.135,10
inc05,threshold,2,84,0.35,0.12,1
inc05,threshold,2,91,0.42,0.134,2
inc05,threshold,2,98,0.334,0.117,3
inc05,threshold,2,105,0.367,0.073,4
inc05,threshold,2,112,0.323,0.115,5
inc05,threshold,2,119,0.315,0.113,6
inc05,threshold,2,126,0.363,0.073,7
inc05,threshold,2,135,0.323,0.065,8
inc05,threshold,2,143,0.315,0.113,9
inc05,threshold,2,150,0.413,0.133,10
inc05,threshold,3,162,0.35,0.12,1
inc05,threshold,3,171,0.32,0.114,2
inc05,threshold,3,178,0.414,0.133,3
inc05,threshold,3,185,0.383,0.127,4
inc05,threshold,3,192,0.377,0.125,5
inc05,threshold,3,199,0.375,0.125,6
inc05,threshold,3,206,0.325,0.065,7
inc05,threshold,3,213,0.315,0.113,8
inc05,threshold,3,220,0.313,0.113,9
inc05,threshold,3,227,0.363,0.073,10
inc10,threshold,1,8,0.7,0.14,1
inc10,threshold,1,15,0.64,0.228,2
inc10,threshold,1,22,0.828,0.166,3
inc10,threshold,1,29,0.666,0.133,4
inc10,threshold,1,36,0.733,0.147,5
inc10,threshold,1,43,0.647,0.229,6
inc10,threshold,1,50,0.829,0.266,7
inc10,threshold,1,57,0.766,0.253,8
inc10,threshold,1,64,0.853,0.271,9
inc10,threshold,1,71,0.871,0.274,10
inc10,threshold,2,84,0.5,0.2,1
inc10,threshold,2,91,0.7,0.24,2
inc10,threshold,2,98,0.74,0.248,3
inc10,threshold,2,105,0.748,0.25,4
inc10,threshold,2,112,0.55,0.21,5
inc10,threshold,2,119,0.81,0.162,6
inc10,threshold,2,126,0.762,0.252,7
inc10,threshold,2,133,0.752,0.15,8
inc10,threshold,2,140,0.65,0.13,9
inc10,threshold,2,147,0.63,0.226,10
inc10,threshold,3,160,0.5,0.2,1
inc10,threshold,3,167,0.7,0.24,2
inc10,threshold,3,174,0.54,0.108,3
inc10,threshold,3,181,0.408,0.182,4
inc10,threshold,3,188,0.682,0.236,5
inc10,threshold,3,195,0.836,0.267,6
inc10,threshold,3,202,0.767,0.253,7
inc10,threshold,3,209,0.653,0.231,8
inc10,threshold,3,216,0.731,0.246,9
