run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_9,none,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876,100.0
none_8,none,1,2.177347832140149,1.830229767859852,0,11532.043496420447,100.0
none_11,none,2,2.2450369703458763,1.7625406296541246,0,18187.409570949505,100.0
none_10,none,2,2.1877933222616655,1.8197842777383355,0,18078.797805014212,100.0
none_9,none,2,2.168668848514008,1.8389087514859932,0,17958.3052054539,100.0
none_8,none,2,2.227680993882402,1.7798966061175991,0,18215.086478067653,100.0
none_11,none,3,2.1864590049301165,1.8211185950698852,0,24746.786585739854,100.0
none_10,none,3,2.1711980009705933,1.8363795990294083,0,24592.391807925993,100.0
none_9,none,3,2.152228296057462,1.855349303942539,0,24414.990093626286,100.0
none_8,none,3,2.1670704673279846,1.840507132672017,0,24716.297880051607,100.0
none_15,none,1,2.196736263833291,1.8108413361667104,0,11590.208791499872,100.0
none_14,none,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876,100.0
none_13,none,1,2.2060128219771467,1.8015647780228543,0,11618.03846593144,100.0
none_12,none,1,2.2232415730815314,1.7843360269184692,0,11669.724719244594,100.0
none_15,none,2,2.2174117908965103,1.7901658091034909,0,18242.4441641894,100.0
none_14,none,2,2.1929289898706315,1.8146486101293695,0,18031.085629523768,100.0
none_13,none,2,2.2054756608555404,1.8021019391444604,0,18234.465448498064,100.0
none_12,none,2,2.2162459051666366,1.7913316948333644,0,18318.462434744502,100.0
none_15,none,3,2.236594160188545,1.7709834398114561,0,24952.226644755036,100.0
none_14,none,3,2.181850280142549,1.8257273198574524,0,24576.636469951416,100.0
none_13,none,3,2.1940048212073258,1.813572778792675,0,24816.47991212004,100.0
none_12,none,3,2.195731862035237,1.8118457379647643,0,24905.658020850213,100.0
none_18,none,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876,100.0
none_17,none,1,2.1924131005124,1.8151644994876017,0,11577.2393015372,100.0
none_16,none,1,2.1709581217628617,1.836619478237139,0,11512.874365288586,100.0
none_19,none,1,2.2148134988110026,1.7927641011889979,0,11644.440496433008,100.0
none_18,none,2,2.308913277084066,1.6986643229159342,0,18379.038491164072,100.0
none_17,none,2,2.2586894434489264,1.748888156551074,0,18353.30763188398,100.0
none_16,none,2,2.2175945128357872,1.7899830871642137,0,18165.657903795945,100.0
none_19,none,2,2.1507662199706252,1.8568113800293764,0,18096.739156344884,100.0
none_18,none,3,2.172918771675333,1.8346588283246679,0,24897.79480619007,100.0
none_17,none,3,2.165419278824337,1.8421583211756647,0,24849.565468356992,100.0
none_16,none,3,2.160131132823325,1.8474464671766762,0,24646.05130226592,100.0
none_19,none,3,2.286478260777665,1.7210993392223353,0,24956.17393867788,100.0
none_23,none,1,2.174598743379903,1.8329788566200977,0,11523.79623013971,100.0
none_22,none,1,2.1974312832026146,1.8101463167973864,0,11592.293849607844,100.0
none_21,none,1,2.200533228416055,1.807044371583946,0,11601.599685248166,100.0
none_20,none,1,2.195472839107828,1.8121047608921728,0,11586.418517323484,100.0
none_23,none,2,2.193019656062329,1.8145579439376718,0,18102.855198326695,100.0
none_22,none,2,2.1766608567391863,1.8309167432608149,0,18122.2764198254,100.0
none_21,none,2,2.2110542780832696,1.7965233219167314,0,18234.762519497974,100.0
none_20,none,2,2.261732322514892,1.7458452774851088,0,18371.61548486816,100.0
none_23,none,3,2.2120790219422286,1.7954985780577726,0,24739.09226415338,100.0
none_22,none,3,2.1880101926929805,1.819567407307021,0,24686.306997904343,100.0
none_21,none,3,2.233763677162941,1.7738139228370597,0,24936.0535509868,100.0
